statecurrent,inmidwest,midwesterner,statebirth,ideology,partyregaff,age,race,votehistory,education,gender,zip,weight,income,householdsize
TN,0,0,TN,Moderate,Not registered to vote,30-39,White or Caucasian,Did not vote,High School or Less,Female,38501,0.7798961757103829,78333.75867456198,6
TN,0,0,TN,Liberal,Not registered to vote,25-29,White or Caucasian,Did not vote,Postgraduate or Higher,Female,38464,0.8952908846748109,54320.36504615098,5
TN,0,0,TN,Moderate,Not registered to vote,40-49,White or Caucasian,Did not vote,High School or Less,Male,38305,0.6695708590683739,36850.267234258354,2
TN,0,0,TN,Moderate,Not registered to vote,30-39,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,38260,0.6566536351646279,82731.85793077573,1
TN,0,0,KY,Conservative,Not registered to vote,18-24,White or Caucasian,Did not vote,High School or Less,Female,38237,0.7216811090990677,89838.70745170861,2
TN,0,0,TN,Liberal,Not registered to vote,25-29,White or Caucasian,Donald Trump,College Degree,Male,38135,1.3783115538773567,48915.4134481214,3
TN,0,0,KY,Moderate,Not registered to vote,40-49,Asian,Did not vote,High School or Less,Female,38122,1.6365283563594382,25757.33131961897,5
TN,0,0,RI,Moderate,Not registered to vote,40-49,White or Caucasian,Did not vote,College Degree,Female,37932,0.7132403362589483,75727.26539336145,4
TN,0,0,CA,Moderate,Not registered to vote,50-59,Other or Multiple Races,Someone else,Associate's Degree/Some College,Male,37921,0.4249903175851329,55139.596527442336,4
TN,0,0,TN,Moderate,Not registered to vote,30-39,White or Caucasian,Donald Trump,Vocational/Technical School,Male,37921,0.9446935107680271,56827.75674154982,2
TN,0,0,PA,Moderate,Not registered to vote,18-24,White or Caucasian,Did not vote,Postgraduate or Higher,Male,37919,0.8372482288079572,15470.833801664412,2
TN,1,1,TN,Conservative,Not registered to vote,18-24,White or Caucasian,Did not vote,High School or Less,Female,37912,0.7216811090990677,95261.20550232008,2
TN,0,0,OH,Moderate,Not registered to vote,30-39,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,37901,0.6566536351646279,58201.6102434136,3
TN,0,0,TN,Moderate,Not registered to vote,40-49,White or Caucasian,Did not vote,Vocational/Technical School,Female,37766,0.5826814192441278,11012.509944848716,5
TN,0,0,TN,Moderate,Not registered to vote,40-49,White or Caucasian,Did not vote,High School or Less,Female,37766,0.6655267188530182,102795.56514695287,2
TN,0,0,TN,Conservative,Not registered to vote,30-39,White or Caucasian,Did not vote,High School or Less,Male,37743,1.035343172762564,90124.68642555177,3
TN,0,0,TN,Conservative,Not registered to vote,30-39,White or Caucasian,Did not vote,High School or Less,Female,37663,0.7798961757103829,70782.42007410154,2
TN,0,0,FL,Conservative,Not registered to vote,50-59,White or Caucasian,Did not vote,High School or Less,Male,37660,0.8540953398925336,51033.06428762153,1
TN,0,0,TN,Conservative,Not registered to vote,40-49,White or Caucasian,Did not vote,College Degree,Male,37618,0.4852943174242854,46014.10534698516,4
TN,0,0,TN,Conservative,Not registered to vote,50-59,White or Caucasian,Did not vote,High School or Less,Female,37398,0.7883958376912575,42468.367570545524,6
TN,0,0,AL,Moderate,Not registered to vote,50-59,White or Caucasian,Someone else,Postgraduate or Higher,Female,37365,0.3404413054710784,107091.46297071129,3
TN,0,0,TN,Moderate,Not registered to vote,18-24,White or Caucasian,Donald Trump,Associate's Degree/Some College,Female,37311,0.7154460036995686,115513.36820237339,5
TN,0,0,TN,Moderate,Not registered to vote,25-29,Black or African American,Did not vote,High School or Less,Female,37209,1.2952218175969619,49461.299763061106,2
TN,0,0,KY,Conservative,Not registered to vote,50-59,White or Caucasian,Donald Trump,High School or Less,Female,37150,1.0651433670717907,71160.35646991804,2
TN,0,1,TX,Moderate,Not registered to vote,25-29,Hispanic or Latino,Donald Trump,High School or Less,Female,37130,8.600141e-11,90451.73389837146,1
TN,0,0,NY,Moderate,Not registered to vote,30-39,White or Caucasian,Donald Trump,Associate's Degree/Some College,Female,37128,0.8318211283753834,51431.58192979172,1
TN,0,0,TN,Moderate,Not registered to vote,30-39,White or Caucasian,Did not vote,High School or Less,Female,37087,0.7798961757103829,32724.56027334556,4
TN,1,1,CA,Conservative,Not registered to vote,18-24,White or Caucasian,Did not vote,High School or Less,Female,37080,0.7216811090990677,100958.03457777947,4
TN,0,0,TN,Conservative,Not registered to vote,30-39,White or Caucasian,Did not vote,High School or Less,Female,37072,0.7798961757103829,79172.1084038727,2
TN,0,0,TN,Moderate,Not registered to vote,25-29,Black or African American,Did not vote,Associate's Degree/Some College,Female,37064,1.0905453076428753,104846.07506077737,1
TN,1,0,AZ,Moderate,Not registered to vote,18-24,White or Caucasian,Did not vote,High School or Less,Male,37058,0.9912626562023191,95900.02574957907,4
AR,1,0,AR,Moderate,Not registered to vote,30-39,White or Caucasian,Did not vote,High School or Less,Female,72958,0.7430738595862719,25021.135334391147,5
AR,1,1,AR,Moderate,Not registered to vote,30-39,White or Caucasian,Did not vote,High School or Less,Male,72956,1.3065878402084086,51341.99402062222,2
AR,0,0,OK,Conservative,Republican,40-49,White or Caucasian,Donald Trump,College Degree,Female,72956,0.9119216909888316,75318.5496875085,2
AR,0,0,NY,Moderate,Independent/Other,50-59,White or Caucasian,Donald Trump,College Degree,Male,72952,0.9999068952239621,50340.51407361403,5
AR,0,0,AR,Moderate,Republican,25-29,Asian,Donald Trump,College Degree,Female,72936,2.0070559816416433,111383.43879720196,2
